00:53:17.480 [ i ] ## Hilo Creado - (PID:TID) - (1,1) 	 ->createThread.go:39
00:53:17.480 [ i ] Contexto creado para el hilo - (PID:TID): (1, 1) 	 ->createThread.go:51
00:53:17.481 [ - ] # Request recibida de: 127.0.0.1:56734 	 ->saveContext.go:21
00:53:17.481 [ - ] Contexto guardado exitosamente: {16 16 3 1 0 0 0 0 0 0 0} 	 ->saveContext.go:59
00:53:17.481 [ i ] ## Contexto Actualizado - (PID:TID) - (1:0) 	 ->saveContext.go:70
00:53:17.531 [ - ] Request recibida de: 127.0.0.1:56746 	 ->getContext.go:22
00:53:17.531 [ - ] Contexto a buscar - (PID:TID) - (1,0) 	 ->getContext.go:28
00:53:17.531 [ - ] Contexto hayado: {16 16 3 1 0 0 0 0 0 0 0} 	 ->getContext.go:48
00:53:17.531 [ i ] Contexto Solicitado - (PID:TID) - (1,0) 	 ->getContext.go:60
00:53:17.582 [ - ] # Request recibida de: 127.0.0.1:56746 	 ->saveContext.go:21
00:53:17.582 [ - ] Contexto guardado exitosamente: {16 16 3 1 0 0 0 0 0 0 0} 	 ->saveContext.go:59
00:53:17.582 [ i ] ## Contexto Actualizado - (PID:TID) - (1:0) 	 ->saveContext.go:70
00:53:17.632 [ - ] Request recibida de: 127.0.0.1:56758 	 ->getContext.go:22
00:53:17.632 [ - ] Contexto a buscar - (PID:TID) - (0,0) 	 ->getContext.go:28
00:53:17.633 [ - ] Contexto hayado: {0 16 3 10 1 0 0 0 0 0 0} 	 ->getContext.go:48
00:53:17.633 [ i ] Contexto Solicitado - (PID:TID) - (0,0) 	 ->getContext.go:60
00:53:17.683 [ - ] Request recibida de: 127.0.0.1:56758 	 ->getInstruction.go:22
00:53:17.683 [ i ] ## Obtener instrucción - (PID:TID) - (0:0) - Instrucción: PROCESS_CREATE RECURSOS_MUTEX_PROC 16 0 	 ->getInstruction.go:48
00:53:17.734 [ - ] Request recibida de: 127.0.0.1:56774 	 ->createProcess.go:20
00:53:17.734 [ - ] MinSize inical: 8160 	 ->Best.go:20
00:53:17.734 [ - ] Particion encontrada: &{32 8192 false 0} 	 ->Best.go:30
00:53:17.734 [ - ] Particion encontrada: &{32 8192 false 0} 	 ->Dinamicas.go:30
00:53:17.734 [ - ] Nuevas particiones: [{32 48 true 2} {48 8192 false 0}] 	 ->Dinamicas.go:64
00:53:17.734 [ - ] Particiones antes de agregar: [{0 16 true 0} {16 32 true 1} {32 8192 false 0}] 	 ->Dinamicas.go:65
00:53:17.734 [ - ] Particiones luego de agregar las nuevas: [{0 16 true 0} {16 32 true 1} {32 48 true 2} {48 8192 false 0}] 	 ->Dinamicas.go:70
00:53:17.734 [ - ] Se fracciono la particion Base: 32 Limite: 48  	 ->Dinamicas.go:71
00:53:17.734 [ - ] # Request recibida de: 127.0.0.1:56758 	 ->saveContext.go:21
00:53:17.734 [ - ] Contexto guardado exitosamente: {0 16 4 10 1 0 0 0 0 0 0} 	 ->saveContext.go:59
00:53:17.734 [ i ] ## Contexto Actualizado - (PID:TID) - (0:0) 	 ->saveContext.go:70
00:53:17.734 [ - ] Se asigno el proceso PID: < 2 > a la particion Base: 32 Limite 48 	 ->Dinamicas.go:82
00:53:17.734 [ i ] Particiones: [{0 16 true 0} {16 32 true 1} {32 48 true 2} {48 8192 false 0}] 	 ->Dinamicas.go:83
00:53:17.734 [ i ] Contexto creado para el hilo - (PID:TID): (2, 0): {32 16 0 0 0 0 0 0 0 0 0} 	 ->createProcess.go:86
